study_id,Modality,Metric (%),median,mean,Contributing experiments,Missing experiments,Total experiments,raw_values
147,SCG,EER,27.5,26.731666666666666,120,0,120,0.1% | 0.3% | 0.6% | 1.0% | 11.0% | 12.0% | 13.0% | 14.0% | 15.0% | 16.0% | 17.0% | 18.0% | 19.0% | 2.0% | 20.0% | 21.0% | 23.0% | 25.0% | 26.0% | 27.0% | 28.0% | 29.0% | 30.0% | 31.0% | 32.0% | 33.0% | 35.0% | 36.0% | 37.0% | 4.0% | 40.0% | 41.0% | 43.0% | 44.0% | 45.0% | 46.0% | 47.0% | 48.0% | 49.0% | 5.0% | 50.0% | 51.0% | 52.0% | 6.0% | 9.0%
147,SCG,Accuracy,NA,NA,0,120,120,
189,EDA,EER,1.82,1.895,4,0,4,0.54% (1) | 1.46% (1.53) | 2.18% (2.65) | 3.4% (4.88)
189,EDA,Accuracy,NA,NA,0,4,4,
205,ECG,EER,NA,NA,0,1,1,
205,ECG,Accuracy,88.9,88.9,1,0,1,88.9%
205,PPG,EER,NA,NA,0,1,1,
205,PPG,Accuracy,100,100,1,0,1,100.0%
253,ECG,EER,NA,NA,0,1,1,
253,ECG,Accuracy,NA,NA,0,1,1,
266,PPG,EER,NA,NA,0,12,12,
266,PPG,Accuracy,95.5,95.5,12,0,12,95.0% | 96.0%
278,ECG,EER,7.095,13.197500000000002,4,0,4,32.72% (0.4) | 5.88% (0.35) | 6.66% (0.04) | 7.53% (0.4)
278,ECG,Accuracy,NA,NA,0,4,4,
278,PPG,EER,21.4,19.384999999999998,4,0,4,20.68% (1.18) | 22.12% (0.77) | 27.9% (0.55) | 6.84% (0.65)
278,PPG,Accuracy,NA,NA,0,4,4,
28,PPG,EER,4.8,4.8,1,0,1,4.8%
28,PPG,Accuracy,NA,NA,0,1,1,
298,PPG,EER,NA,NA,0,19,19,
298,PPG,Accuracy,80,78.07,19,0,19,36.6% | 62.0% | 63.0% | 69.0% | 72.2% | 74.0% | 75.0% | 75.2% | 77.75% | 80.0% | 84.0% | 86.0% | 88.0% | 89.2% | 90.0% | 90.65% | 90.73%
305,PPG,EER,17.63,16.889444444444443,18,0,18,13.95% | 14.01% | 14.51% | 14.63% | 14.87% | 15.06% | 15.44% | 15.66% | 17.38% | 17.88% | 18.17% | 18.21% | 18.38% | 18.44% | 19.03% | 19.24% | 19.49% | 19.66%
305,PPG,Accuracy,NA,NA,0,18,18,
305,EDA,EER,19.215,19.019444444444446,18,0,18,13.95% | 14.01% | 14.51% | 14.63% | 14.87% | 15.06% | 15.44% | 15.66% | 17.38% | 21.05% | 21.43% | 21.87% | 22.08% | 22.14% | 22.34% | 24.71% | 25.34% | 25.88%
305,EDA,Accuracy,NA,NA,0,18,18,
305,Multimodal,EER,14.870000000000001,15.056666666666667,9,0,9,13.95% | 14.01% | 14.51% | 14.63% | 14.87% | 15.06% | 15.44% | 15.66% | 17.38%
305,Multimodal,Accuracy,NA,NA,0,9,9,
330,ECG,EER,5.930000000000001,6.938571428571429,21,0,21,0.8% | 1.12% | 1.17% | 10.34% | 12.12% | 12.46% | 14.67% | 15.21% | 2.77% | 3.21% | 3.64% | 3.9% | 5.19% | 5.37% | 5.4% | 5.93% | 7.86% | 8.19% | 8.6% | 8.71% | 9.05%
330,ECG,Accuracy,94.34,93.94142857142857,21,0,21,86.87 | 87.30% | 89.57% | 90.07 | 90.94 | 91.67% | 92.82% | 92.90% | 93.82% | 94.01% | 94.34% | 94.41% | 94.65% | 95.06% | 95.88% | 96.41% | 97.57% | 97.98% | 98.13% | 99.17% | 99.2%
36,ECG,EER,25.729999999999997,25.2325,12,0,12,18.27% | 20.38% | 21.09% | 22.05% | 24.62% | 25.42% | 26.04% | 26.41% | 26.64% | 29.33% | 30.87% | 31.67%
36,ECG,Accuracy,NA,NA,0,12,12,
374,PPG,EER,NA,NA,0,1,1,
374,PPG,Accuracy,96,96,1,0,1,96.0% (4)
382,PPG,EER,NA,NA,0,6,6,
382,PPG,Accuracy,73.75,74.8,6,0,6,60.3 (1.4) | 60.3 (1.9) | 61.5 (1.4) | 86.0 (0.1) | 86.3 (0.8) | 94.4 (0.9)
382,Microphone,EER,NA,NA,0,3,3,
382,Microphone,Accuracy,86.3,88.9,3,0,3,86.0 (0.1) | 86.3 (0.8) | 94.4 (0.9)
382,Multimodal,EER,NA,NA,0,3,3,
382,Multimodal,Accuracy,86.3,88.9,3,0,3,86.0 (0.1) | 86.3 (0.8) | 94.4 (0.9)
401,PPG,EER,NA,NA,0,34,34,
401,PPG,Accuracy,79.5,78.67586206896551,29,5,34,61.9% | 62.7% | 65.6% | 65.9% | 67.4% | 71.1% | 71.8% | 72.6% | 72.7% | 73.6% | 76.1% | 76.2% | 76.3% | 76.6% | 79.5% | 80.1% | 80.4% | 82.1% | 84.5% | 86.4% | 86.7% | 86.8% | 87.0% | 87.3% | 88.3% | 89.2% | 89.3% | 91.4% | 92.1%
43,ECG,EER,2.11,2.11,1,0,1,2.11%
43,ECG,Accuracy,NA,NA,0,1,1,
445,ECG,EER,NA,NA,0,6,6,
445,ECG,Accuracy,98.38,95.87833333333333,6,0,6,88.16% | 92.81% | 98.10% | 98.66% | 98.73% | 98.81%
447,ECG,EER,23.91,23.358925925925927,270,0,270,0.49% | 0.61% | 0.74% | 0.98% | 1.96% | 10.06% | 10.60% | 10.87% | 10.99% | 11.21% | 11.41% | 11.75% | 12.03% | 12.19% | 12.50% | 12.62% | 13.05% | 13.12% | 14.13% | 14.46% | 14.71% | 15.59% | 15.83% | 15.97% | 16.24% | 16.38% | 16.42% | 16.43% | 16.91% | 17.21% | 17.40% | 17.79% | 17.93% | 17.96% | 18.13% | 18.20% | 18.34% | 18.48% | 18.63% | 19.03% | 19.09% | 19.1% | 19.54% | 19.57% | 19.58% | 19.92% | 19.99% | 2.21% | 2.45% | 2.94% | 20.00% | 20.10% | 20.11% | 20.23% | 20.34% | 20.47% | 20.77% | 20.83% | 20.92% | 20.95% | 20.99% | 21.20% | 21.23% | 21.47% | 21.54% | 21.56% | 21.57% | 21.65% | 21.74% | 21.86% | 21.98% | 22.22% | 22.28% | 22.49% | 22.50% | 22.53% | 22.60% | 22.79% | 22.83% | 22.86% | 23.12% | 23.37% | 23.53% | 23.71% | 23.91% | 24.20% | 24.35% | 24.39% | 24.41% | 24.56% | 24.73% | 24.79% | 25.44% | 25.54% | 25.59% | 25.61% | 25.64% | 25.66% | 25.72% | 25.74% | 26.08% | 26.18% | 26.47% | 26.55% | 26.65% | 26.85% | 26.90% | 27.55% | 27.65% | 27.66% | 27.76% | 27.94% | 28.00% | 28.09% | 28.10% | 28.62% | 28.68% | 28.74% | 28.79% | 28.90% | 28.98% | 29.06% | 29.17% | 29.29% | 29.71% | 29.90% | 3.19% | 3.80% | 30.15% | 30.59% | 30.64% | 30.79% | 30.82% | 30.96% | 31.03% | 31.12% | 31.13% | 31.18% | 31.32% | 31.35% | 31.37% | 31.63% | 31.67% | 31.91% | 32.11% | 32.35% | 32.51% | 33.08% | 33.09% | 33.18% | 33.28% | 33.29% | 33.51% | 33.57% | 33.95% | 34.01% | 34.18% | 34.37% | 34.46% | 34.64% | 34.81% | 34.88% | 35.30% | 35.44% | 35.48% | 35.50% | 35.59% | 35.62% | 35.68% | 35.74% | 35.76% | 35.78% | 35.88% | 35.91% | 35.97% | 36.03% | 36.32% | 36.40% | 36.45% | 36.47% | 36.58% | 36.61% | 36.62% | 36.98% | 37.21% | 37.35% | 37.65% | 37.80% | 38.24% | 38.25% | 38.28% | 38.34% | 38.56% | 38.78% | 38.82% | 38.93% | 38.97% | 39.01% | 39.11% | 39.22% | 39.26% | 39.44% | 39.48% | 39.92% | 4.04% | 4.29% | 41.06% | 41.48% | 5.56% | 5.64% | 6.10% | 6.62% | 6.64% | 6.72% | 6.79% | 6.86% | 7.19% | 7.43% | 7.73% | 8.24% | 8.27% | 8.42% | 8.82% | 8.88% | 9.24% | 9.29% | 9.51% | 9.86%
447,ECG,Accuracy,NA,NA,0,270,270,
455,ECG,EER,NA,NA,0,3,3,
455,ECG,Accuracy,NA,NA,0,3,3,
459,PPG,EER,18.2,17.87,5,0,5,11.25% (6.16) | 17.2% (7.79) | 18.2% (7.55) | 20.9% (7.92) | 21.8% (8.26)
459,PPG,Accuracy,NA,NA,0,5,5,
460,ECG,EER,NA,NA,0,1,1,
460,ECG,Accuracy,NA,NA,0,1,1,
475,ECG,EER,NA,NA,0,10,10,
475,ECG,Accuracy,92,91.7,10,0,10,89.0% | 90.0% | 91.0% | 92.0% | 93.0% | 94.0%
486,PPG,EER,31.700000000000003,29.387395833333333,96,0,96,12.42% (7.28) | 13.17% (7.14) | 13.80% | 14.00% | 14.83% | 14.89% | 16.41% | 16.56% | 16.66% | 16.79% | 17.20% | 17.56% | 19.94% | 20.02% | 20.44% | 20.69% | 20.79% | 20.95% | 21.47% | 21.69% | 28.50% | 28.52% | 28.95% | 29.03% | 29.70% | 29.80% | 29.81% | 29.82% | 29.99% | 30.08% | 30.39% | 30.67% | 30.83% | 30.87% | 30.94% | 31.02% | 31.10% | 31.11% | 31.12% | 31.40% | 31.42% | 31.44% | 31.54% | 31.55% | 31.58% | 31.61% | 31.63% | 31.77% | 31.79% | 31.81% | 31.85% | 31.87% | 31.90% | 32.06% | 32.16% | 32.18% | 32.21% | 32.27% | 32.31% | 32.32% | 32.33% | 32.59% | 32.65% | 32.66% | 32.73% | 32.82% | 32.90% | 32.99% | 33.07% | 33.10% | 33.21% | 33.32% | 33.41% | 33.51% | 33.59% | 33.64% | 33.67% | 33.74% | 34.05% | 34.32% | 34.44% | 34.50% | 34.55% | 34.86% | 35.22% | 35.93% | 36.54% | 37.16% | 37.40% | 37.57% | 37.90% | 39.01%
486,PPG,Accuracy,NA,NA,0,96,96,
495,ECG,EER,NA,NA,0,5,5,
495,ECG,Accuracy,99.2,96.11,5,0,5,88.86% | 93.59% | 99.20% | 99.27% | 99.63%
55,PPG,EER,13.620000000000001,12.887333333333332,30,0,30,11.26% | 13.03 (8.73) | 13.28 (6.54) | 13.47 (6.87) | 13.77% | 14.13% | 14.26% | 15.77 (5.78) | 16.21% | 18.01% | 18.74 (7.18) | 19.26% | 19.43 (10.2) | 19.81% | 20.86 (6.56) | 21.06% | 21.36 (8.20) | 3.18% | 3.53 (0.666) | 3.8% | 3.92% | 3.96 (1.38) | 30.86 (8.16) | 4.24% | 4.8 (0.707) | 4.84 (4) | 6.77 (4.08) | 7.71 (2.11)
55,PPG,Accuracy,NA,NA,0,30,30,
61,PPG,EER,NA,NA,0,4,4,
61,PPG,Accuracy,72.5,73.5,4,0,4,55% (5) | 67% (12) | 78% (6) | 94% (3)
61,Microphone,EER,NA,NA,0,2,2,
61,Microphone,Accuracy,86,86,2,0,2,78% (6) | 94% (3)
61,Multimodal,EER,NA,NA,0,2,2,
61,Multimodal,Accuracy,86,86,2,0,2,78% (6) | 94% (3)
75,VHF,EER,8.8,11.403703703703703,27,0,27,10.2 (7.6) | 11.4 (6.3) | 11.4 (6.5) | 12.3 (6.3) | 14.5 (9.6 | 14.5 (9.7) | 21.6 (14) | 21.7 (9.6) | 23.7 (8.5) | 24.9 (16.4) | 25 (14.9) | 6.1 (4.4) | 6.3 (4.2) | 6.3 (4.5) | 7 (5.4) | 7.1 (4.7) | 7.1 (5.3) | 7.1 (6.3) | 7.5 (6.8) | 7.6 (4) | 7.6 (4.1) | 8.8 (7.2) | 9.6 (6.3) | 9.9 (5.9)
75,VHF,Accuracy,84.1,80.62,15,12,27,60.3 (8.6) | 61.8 (10.4) | 70.2 (14.3) | 70.6 (13.9) | 74.4 (12.3) | 82 (9) | 82.6 (10.9) | 84.1 (8.8) | 85.5 (8.3) | 86.1 (7.6) | 87.6 (9) | 90 (7.3) | 90.8 (6.9) | 91 (8.2) | 92.3 (6)
