Modality,Metric (%),median [Q1-Q3],mean (SD),min,max,N (studies),N (experiments)
ECG,EER,22.8 [12.5-31.4],22.1 (11.3),0.5,41.5,5,308
ECG,Accuracy,93.6 [91.0-97.8],93.8 (3.7),86.9,99.6,5,43
PPG,EER,28.2 [16.6-32.2],23.9 (9.6),3.2,39,6,154
PPG,Accuracy,85.2 [72.7-90.9],81.2 (12.8),36.6,100,7,72
EDA,EER,15.6 [14.1-22.0],15.9 (7.8),0.5,25.9,2,22
SCG,EER,27.5 [13.0-45.0],26.7 (17.2),0.1,52,1,120
VHF,EER,8.8 [7.0-13.4],11.4 (6.3),6.1,25,1,27
VHF,Accuracy,84.1 [72.5-88.8],80.6 (10.6),60.3,92.3,1,15
Microphone,Accuracy,86.3 [86.0-94.0],87.7 (6.8),78,94.4,2,5
Multimodal,EER,14.9 [14.5-15.4],15.1 (1.0),14,17.4,1,9
Multimodal,Accuracy,86.3 [86.0-94.0],87.7 (6.8),78,94.4,2,5
