Modality,Metric (%),median [Q1-Q3],mean (SD),min,max,N (studies),N (experiments),Missing experiments
ECG,EER,7.1 [5.9-23.9],14.2 (10.1),2.1,25.7,5,308,0
ECG,Accuracy,94.3 [92.0-98.4],93.3 (3.0),88.9,99.2,5,43,0
PPG,EER,17.9 [14.6-20.6],16.9 (8.1),4.8,31.7,6,154,0
PPG,Accuracy,80.0 [76.6-95.8],85.2 (11.4),72.5,100,7,72,5
EDA,EER,10.5 [6.2-14.9],10.5 (12.1),1.8,19.2,2,22,0
SCG,EER,27.5 [27.5-27.5],26.7 (NA),27.5,27.5,1,120,0
VHF,EER,8.8 [8.8-8.8],11.4 (NA),8.8,8.8,1,27,0
VHF,Accuracy,84.1 [84.1-84.1],80.6 (NA),84.1,84.1,1,15,12
Microphone,Accuracy,86.2 [86.1-86.2],87.4 (2.1),86,86.3,2,5,0
Multimodal,EER,14.9 [14.9-14.9],15.1 (NA),14.9,14.9,1,9,0
Multimodal,Accuracy,86.2 [86.1-86.2],87.4 (2.1),86,86.3,2,5,0
